RequestsNumber,Time
10,1324.737310409546
20,1601.137399673462
30,2181.21337890625
40,2908.8101387023926
50,3709.441900253296
60,4603.592872619629
70,5318.561315536499
80,6387.930154800415
90,7088.701963424683
100,7586.695432662964
